,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
134,Anthropoid,(2016),R,120 min,"Action, Biography, Drama",7.2,59        ,"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",['Sean Ellis'],"['Jamie Dornan', 'Cillian Murphy', 'Brian Caspe', 'Karel Hermánek Jr.']","50,971",$2.96M
135,The Report,(I) (2019),R,119 min,"Biography, Crime, Drama",7.2,66        ,"Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.",['Scott Z. Burns'],"['Adam Driver', 'Annette Bening', 'Jon Hamm', 'Ted Levine']","46,539",-
136,War Horse,(2011),PG-13,146 min,"Action, Adventure, Drama",7.2,72        ,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,['Steven Spielberg'],"['Jeremy Irvine', 'Emily Watson', 'David Thewlis', 'Benedict Cumberbatch']","161,383",$79.88M
137,The Professor and the Madman,(2019),Not Rated,124 min,"Biography, Drama, History",7.2,27        ,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",['Farhad Safinia'],"['Mel Gibson', 'Sean Penn', 'Eddie Marsan', 'Natalie Dormer']","48,268",-
138,Secretariat,(2010),PG,123 min,"Biography, Drama, Family",7.2,61        ,"Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown.",['Randall Wallace'],"['Diane Lane', 'John Malkovich', 'Margo Martindale', 'Nelsan Ellis']","29,580",$59.71M
139,Stan & Ollie,(2018),PG,98 min,"Biography, Comedy, Drama",7.2,75        ,"Laurel and Hardy, the world's most famous comedy duo, attempt to reignite their film careers as they embark on what becomes their swan song: a grueling theatre tour of post-war Britain.",['Jon S. Baird'],"['Steve Coogan', 'John C. Reilly', 'Shirley Henderson', 'Nina Arianda']","38,750",$5.47M
140,The Siege of Jadotville,(2016),TV-MA,108 min,"Action, Drama, History",7.2,-,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,['Richie Smyth'],"['Richard Lukunku', 'Danny Sapani', 'Andrew Stock', 'Mark Strong']","41,951",-
141,Bajirao Mastani,(2015),Not Rated,158 min,"Action, Drama, History",7.2,-,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",['Sanjay Leela Bhansali'],"['Ranveer Singh', 'Deepika Padukone', 'Priyanka Chopra Jonas', 'Tanvi Azmi']","36,949",$6.56M
142,Testament of Youth,(2014),PG-13,129 min,"Biography, Drama, History",7.2,76        ,"A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times.",['James Kent'],"['Alicia Vikander', 'Kit Harington', 'Taron Egerton', 'Dominic West']","29,666",$1.82M
143,Eight Men Out,(1988),PG,119 min,"Drama, History, Sport",7.2,71        ,A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series.,['John Sayles'],"['John Cusack', 'Clifton James', 'Jace Alexander', 'Gordon Clapp']","21,183",$5.68M
