,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
134,King Richard,(2021),PG-13,144 min,"Biography, Drama, Sport",7.5,76        ,A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,['Reinaldo Marcus Green'],"['Will Smith', 'Aunjanue Ellis-Taylor', 'Jon Bernthal', 'Saniyya Sidney']","122,613",-
135,Midnight Express,(1978),R,121 min,"Biography, Crime, Drama",7.5,59        ,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",['Alan Parker'],"['Brad Davis', 'Irene Miracle', 'Bo Hopkins', 'Paolo Bonacelli']","84,320",$35.00M
136,The Assassination of Jesse James by the Coward Robert Ford,(2007),R,160 min,"Biography, Crime, Drama",7.5,68        ,"Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.",['Andrew Dominik'],"['Brad Pitt', 'Casey Affleck', 'Sam Shepard', 'Mary-Louise Parker']","187,058",$3.90M
137,Boys Don't Cry,(1999),R,118 min,"Biography, Crime, Drama",7.5,86        ,"A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska.",['Kimberly Peirce'],"['Hilary Swank', 'Chloë Sevigny', 'Peter Sarsgaard', 'Brendan Sexton III']","100,615",$11.53M
138,Saving Mr. Banks,(2013),PG-13,125 min,"Biography, Comedy, Drama",7.5,65        ,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",['John Lee Hancock'],"['Emma Thompson', 'Tom Hanks', 'Annie Rose Buckley', 'Colin Farrell']","165,936",$83.30M
139,42,(2013),PG-13,128 min,"Biography, Drama, Sport",7.5,62        ,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.",['Brian Helgeland'],"['Chadwick Boseman', 'T.R. Knight', 'Harrison Ford', 'Nicole Beharie']","98,695",$95.00M
140,Milk,(I) (2008),R,128 min,"Biography, Drama, History",7.5,83        ,"The story of Harvey Milk, and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.",['Gus Van Sant'],"['Sean Penn', 'Josh Brolin', 'Emile Hirsch', 'Diego Luna']","176,362",$31.84M
141,Chaplin,(1992),PG-13,143 min,"Biography, Comedy, Drama",7.5,47        ,"An elderly Charlie Chaplin discusses his autobiography with his editor, recounting his amazing journey from his poverty-stricken childhood to world-wide success after the ingenious invention of the Little Tramp.",['Richard Attenborough'],"['Robert Downey Jr.', 'Geraldine Chaplin', 'Paul Rhys', 'John Thaw']","59,708",$9.49M
142,Christiane F.,(1981),R,138 min,"Biography, Drama",7.5,-,A teen girl in 1970s Berlin becomes addicted to heroin. Everything in her life slowly begins to distort and disappear as she befriends a small crew of junkies and falls in love with a drug-abusing male prostitute.,['Uli Edel'],"['Natja Brunckhorst', 'Eberhard Auriga', 'Peggy Bussieck', 'Lothar Chamski']","27,130",-
143,Selma,(2014),PG-13,128 min,"Biography, Drama, History",7.5,79        ,"A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",['Ava DuVernay'],"['David Oyelowo', 'Carmen Ejogo', 'Oprah Winfrey', 'Tom Wilkinson']","93,340",$52.08M
144,The Great Debaters,(2007),PG-13,126 min,"Biography, Drama, Romance",7.5,65        ,"A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.",['Denzel Washington'],"['Denzel Washington', 'Forest Whitaker', 'Kimberly Elise', 'Nate Parker']","60,753",$30.23M
145,Hunger,(2008),Not Rated,96 min,"Biography, Crime, Drama",7.5,82        ,Irish republican Bobby Sands leads the inmates of a Northern Irish prison in a hunger strike.,['Steve McQueen'],"['Stuart Graham', 'Laine Megaw', 'Brian Milligan', 'Liam McMahon']","71,897",$0.15M
146,Ip Man 2,(2010),R,108 min,"Action, Biography, Drama",7.5,67        ,Centering on Ip Man's migration to Hong Kong in 1949 as he attempts to propagate his discipline of Wing Chun martial arts.,['Wilson Yip'],"['Donnie Yen', 'Xiaoming Huang', 'Sammo Kam-Bo Hung', 'Lynn Xiong']","108,200",$0.21M
147,A Royal Affair,(2012),R,137 min,"Biography, Drama, History",7.5,73        ,"A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever.",['Nikolaj Arcel'],"['Alicia Vikander', 'Mads Mikkelsen', 'Mikkel Boe Følsgaard', 'Trine Dyrholm']","48,979",$1.55M
148,Fruitvale Station,(2013),R,85 min,"Biography, Crime, Drama",7.5,85        ,"The story of Oscar Grant III, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008.",['Ryan Coogler'],"['Michael B. Jordan', 'Melonie Diaz', 'Octavia Spencer', 'Kevin Durand']","83,876",$16.10M
149,Quiz Show,(1994),PG-13,133 min,"Biography, Drama, History",7.5,92        ,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",['Robert Redford'],"['Ralph Fiennes', 'John Turturro', 'Rob Morrow', 'Paul Scofield']","71,513",$24.82M
150,Henry V,(1989),PG-13,137 min,"Biography, Drama, History",7.5,83        ,"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",['Kenneth Branagh'],"['Kenneth Branagh', 'Derek Jacobi', 'Simon Shepherd', 'James Larkin']","30,713",$10.16M
151,The Damned United,(2009),R,98 min,"Biography, Drama, Sport",7.5,81        ,The story of the controversial Brian Clough's 44-day reign as the coach of the English football club Leeds United.,['Tom Hooper'],"['Colm Meaney', 'Henry Goodman', 'David Roper', 'Jimmy Reddington']","44,868",$0.45M
