,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
126,Battle of the Sexes,(2017),PG-13,121 min,"Biography, Comedy, Drama",6.7,73        ,The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,"['Jonathan Dayton', 'Valerie Faris']","['Emma Stone', 'Steve Carell', 'Andrea Riseborough', 'Sarah Silverman']","57,555",$12.64M
127,"Mystery, Alaska",(1999),R,119 min,"Comedy, Drama, Sport",6.7,49        ,The residents of a small town get over-excited when their hockey team gets chosen to host a televised event.,['Jay Roach'],"['Russell Crowe', 'Burt Reynolds', 'Hank Azaria', 'Mary McCormack']","27,727",$8.89M
128,The Legend of Bagger Vance,(2000),PG-13,126 min,"Drama, Fantasy, Sport",6.7,47        ,A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.,['Robert Redford'],"['Will Smith', 'Matt Damon', 'Charlize Theron', 'Bruce McGill']","58,254",$30.70M
129,Hidalgo,(2004),PG-13,136 min,"Action, Adventure, Biography",6.7,54        ,"In 1890, a down-and-out cowboy and his horse travel to Arabia to compete in a deadly cross desert horse race.",['Joe Johnston'],"['Viggo Mortensen', 'Omar Sharif', 'Zuleikha Robinson', 'Louise Lombard']","83,892",$67.29M
130,Blood and Bone,(2009),R,93 min,"Action, Crime, Drama",6.7,-,"In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.",['Ben Ramsey'],"['Michael Jai White', 'Julian Sands', 'Eamonn Walker', 'Dante Basco']","34,688",-
131,Goal! The Dream Begins,(2005),PG,118 min,"Drama, Romance, Sport",6.7,53        ,The extremely talented Santiago Muñez is spotted by a Newcastle United scout and given a chance at professional football.,"['Danny Cannon', 'Michael Winterbottom']","['Kuno Becker', 'Alessandro Nivola', 'Anna Friel', 'Leonardo Guerra']","64,639",$4.28M
132,Redbelt,(2008),R,99 min,"Drama, Sport",6.7,69        ,"A fateful event leads to a job in the film business for top mixed-martial arts instructor Mike Terry. Though he refuses to participate in prize bouts, circumstances conspire to force him to consider entering such a competition.",['David Mamet'],"['Chiwetel Ejiofor', 'Tim Allen', 'Emily Mortimer', 'Max Martini']","21,295",$2.34M
133,Resurrecting the Champ,(2007),PG-13,112 min,"Drama, Sport",6.7,55        ,"Up-and-coming sports reporter rescues a homeless man (""Champ"") only to discover that he is, in fact, a boxing legend believed to have passed away. What begins as an opportunity to resurrect Champ's story and escape the shadow of his father's success becomes a personal journey as the ambitious reporter reexamines his own life and his relationship with his family.",['Rod Lurie'],"['Samuel L. Jackson', 'Josh Hartnett', 'Kathryn Morris', 'Dakota Goyo']","21,056",$3.17M
134,Bigil,(2019),Not Rated,179 min,"Action, Drama, Sport",6.7,-,A former football player struggles to train a women's football team and avenge his father's death.,['Atlee'],"['Joseph Vijay', 'Nayanthara', 'Jackie Shroff', 'Vivek']","22,557",-
135,Talladega Nights: The Ballad of Ricky Bobby,(2006),PG-13,108 min,"Comedy, Sport",6.6,66        ,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",['Adam McKay'],"['Will Ferrell', 'John C. Reilly', 'Sacha Baron Cohen', 'Gary Cole']","191,344",$148.21M
136,The Replacements,(2000),PG-13,118 min,"Comedy, Sport",6.6,30        ,"During a pro football strike, the owners hire substitute players.",['Howard Deutch'],"['Keanu Reeves', 'Gene Hackman', 'Brooke Langton', 'Orlando Jones']","67,247",$44.74M
137,Back to School,(1986),PG-13,96 min,"Comedy, Romance, Sport",6.6,68        ,"To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.",['Alan Metter'],"['Rodney Dangerfield', 'Sally Kellerman', 'Burt Young', 'Keith Gordon']","34,367",$91.26M
138,Heavyweights,(1995),PG,100 min,"Comedy, Drama, Family",6.6,42        ,"Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that it is a woodland hellhole run by a psycho ex-fitness instructor.",['Steven Brill'],"['Tom McGowan', 'Aaron Schwartz', 'Ben Stiller', 'David Goldman']","29,275",$17.69M
139,Rollerball,(1975),Approved,125 min,"Action, Sci-Fi, Sport",6.6,56        ,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",['Norman Jewison'],"['James Caan', 'John Houseman', 'Maud Adams', 'John Beck']","26,946",$30.00M
140,For Love of the Game,(1999),PG-13,137 min,"Drama, Romance, Sport",6.6,43        ,"After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there.",['Sam Raimi'],"['Kevin Costner', 'Kelly Preston', 'John C. Reilly', 'Jena Malone']","36,311",$35.17M
141,Victory,(1981),PG,116 min,"Drama, Sport, War",6.6,57        ,"As allied P.O.W.s prepare for a soccer game against the German National Team to be played in Nazi-occupied Paris, the French Resistance and British officers are making plans for the team's escape.",['John Huston'],"['Michael Caine', 'Sylvester Stallone', 'Pelé', 'Bobby Moore']","32,094",$10.85M
142,Varsity Blues,(1999),R,106 min,"Comedy, Drama, Romance",6.5,50        ,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,['Brian Robbins'],"['James Van Der Beek', 'Jon Voight', 'Paul Walker', 'Ron Lester']","47,522",$52.89M
143,Space Jam,(1996),PG,88 min,"Animation, Adventure, Comedy",6.5,59        ,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",['Joe Pytka'],"['Michael Jordan', 'Wayne Knight', 'Theresa Randle', 'Manner Washington']","204,497",$90.46M
144,The Mighty Ducks,(1992),PG,104 min,"Comedy, Drama, Family",6.5,46        ,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,['Stephen Herek'],"['Emilio Estevez', 'Joss Ackland', 'Lane Smith', 'Heidi Kling']","68,978",$50.75M
145,Never Back Down,(2008),PG-13,113 min,"Action, Drama, Sport",6.5,39        ,"A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club, and meets a classmate who begins to coerce him into fighting.",['Jeff Wadlow'],"['Sean Faris', 'Djimon Hounsou', 'Amber Heard', 'Cam Gigandet']","103,935",$24.85M
146,BASEketball,(1998),R,103 min,"Comedy, Sport",6.5,38        ,"Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team.",['David Zucker'],"['Trey Parker', 'Matt Stone', 'Dian Bachar', 'Yasmine Bleeth']","64,123",$6.94M
147,Run Fatboy Run,(2007),PG-13,100 min,"Comedy, Romance, Sport",6.5,48        ,"Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back.",['David Schwimmer'],"['Simon Pegg', 'Thandiwe Newton', 'Hank Azaria', 'Dylan Moran']","69,134",$6.00M
148,The Longest Yard,(2005),PG-13,113 min,"Comedy, Crime, Sport",6.4,48        ,Prison inmates form a football team to challenge the prison guards.,['Peter Segal'],"['Adam Sandler', 'Burt Reynolds', 'Chris Rock', 'Nelly']","186,744",$158.12M
149,17 Again,(2009),PG-13,102 min,"Comedy, Drama, Fantasy",6.4,48        ,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,['Burr Steers'],"['Zac Efron', 'Matthew Perry', 'Leslie Mann', 'Thomas Lennon']","207,992",$64.17M
150,Turbo,(2013),PG,96 min,"Animation, Adventure, Comedy",6.4,58        ,A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,['David Soren'],"['Ryan Reynolds', 'Paul Giamatti', 'Maya Rudolph', 'Samuel L. Jackson']","103,751",$83.03M
151,Hardball,(2001),PG-13,106 min,"Comedy, Drama, Sport",6.4,48        ,A gambling addict and ticket scalper living an aimless life reluctantly agrees to coach a Little League team from the Chicago projects as part of a loan agreement.,['Brian Robbins'],"['Keanu Reeves', 'Diane Lane', 'John Hawkes', 'Bryan Hearne']","32,445",$40.22M
152,Kickboxer,(1989),R,97 min,"Action, Sport, Thriller",6.4,33        ,Kurt Sloane must learn the ancient kick boxing art of Muay Thai in order to avenge his brother.,"['Mark DiSalle', 'David Worth']","['Jean-Claude Van Damme', 'Dennis Alexio', 'Dennis Chan', 'Michel Qissi']","58,038",$14.70M
153,The Game Plan,(2007),PG,110 min,"Comedy, Family, Sport",6.4,44        ,An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,['Andy Fickman'],"['Dwayne Johnson', 'Kyra Sedgwick', 'Madison Pettis', 'Roselyn Sanchez']","97,939",$90.65M
154,Little Giants,(1994),PG,107 min,"Comedy, Family, Sport",6.4,-,"Misfits form their own opposing team to an elite peewee football team, coached by the elite team coach's brother.",['Duwayne Dunham'],"['Rick Moranis', ""Ed O'Neill"", 'Shawna Waldron', 'Devon Sawa']","29,702",$19.29M
155,Tin Cup,(1996),R,135 min,"Comedy, Drama, Romance",6.4,60        ,A washed-up golf pro working at a driving range tries to qualify for the U.S. Open in order to win the heart of his successful rival's girlfriend.,['Ron Shelton'],"['Kevin Costner', 'Rene Russo', 'Don Johnson', 'Cheech Marin']","51,892",$53.85M
156,Here Comes the Boom,(2012),PG,105 min,"Action, Comedy, Sport",6.4,40        ,A high-school biology teacher looks to become a successful mixed martial arts fighter in an effort to raise money to prevent extracurricular activities from being axed at his cash-strapped school.,['Frank Coraci'],"['Kevin James', 'Salma Hayek', 'Henry Winkler', 'Greg Germann']","93,490",$45.29M
157,Mean Machine,(2001),R,99 min,"Comedy, Crime, Drama",6.4,45        ,A football star jailed for assault leads a group of inmates in a match against prison guards.,['Barry Skolnick'],"['Vinnie Jones', 'David Kelly', 'David Hemmings', 'Ralph Brown']","40,683",$0.09M
158,Grudge Match,(2013),PG-13,113 min,"Comedy, Drama, Sport",6.4,35        ,"A pair of aging boxing rivals are coaxed out of retirement to fight one final bout, thirty years after their last match.",['Peter Segal'],"['Robert De Niro', 'Sylvester Stallone', 'Kim Basinger', 'Alan Arkin']","61,744",$29.81M
