,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
178,Good Bye Lenin!,(2003),R,121 min,"Comedy, Drama, Romance",7.7,68        ,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",['Wolfgang Becker'],"['Daniel Brühl', 'Katrin Sass', 'Chulpan Khamatova', 'Florian Lukas']","149,311",$4.06M
179,Marty,(1955),Not Rated,90 min,"Drama, Romance",7.7,-,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,['Delbert Mann'],"['Ernest Borgnine', 'Betsy Blair', 'Esther Minciotti', 'Augusta Ciolli']","25,586",-
180,The Broken Circle Breakdown,(2012),Not Rated,111 min,"Drama, Music, Romance",7.7,70        ,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",['Felix van Groeningen'],"['Veerle Baetens', 'Johan Heldenbergh', 'Nell Cattrysse', 'Geert Van Rampelberg']","42,051",$0.18M
181,Splendor in the Grass,(1961),Not Rated,124 min,"Drama, Romance",7.7,74        ,"The love of high school sweethearts Deanie and Bud is weighed down by the oppressive expectations of their parents and society in smalltown Kansas in 1928, threatening the future of their relationship.",['Elia Kazan'],"['Natalie Wood', 'Warren Beatty', 'Pat Hingle', 'Audrey Christie']","21,825",$8.72M
182,A Place in the Sun,(1951),Passed,122 min,"Drama, Romance",7.7,76        ,A poor boy gets a job working for his rich uncle and ends up falling in love with two women.,['George Stevens'],"['Montgomery Clift', 'Elizabeth Taylor', 'Shelley Winters', 'Anne Revere']","23,652",-
183,Rockstar,(2011),Not Rated,159 min,"Drama, Music, Romance",7.7,-,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",['Imtiaz Ali'],"['Ranbir Kapoor', 'Nargis Fakhri', 'Shammi Kapoor', 'Kumud Mishra']","46,377",$0.99M
184,My Darling Clementine,(1946),Passed,97 min,"Drama, Romance, Western",7.7,-,"After their cattle are stolen and their brother murdered, the Earp brothers have a score to settle with the Clanton family.",['John Ford'],"['Henry Fonda', 'Linda Darnell', 'Victor Mature', 'Cathy Downs']","24,653",-
185,L'Eclisse,(1962),Not Rated,126 min,"Drama, Romance",7.7,-,"A young woman meets a vital young man, but their love affair is doomed because of the man's materialistic nature.",['Michelangelo Antonioni'],"['Monica Vitti', 'Alain Delon', 'Francisco Rabal', 'Lilla Brignone']","21,044",-
186,The Girl Who Leapt Through Time,(2006),TV-PG,98 min,"Animation, Adventure, Comedy",7.7,66        ,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",['Mamoru Hosoda'],"['Riisa Naka', 'Takuya Ishida', 'Mitsutaka Itakura', 'Ayami Kakiuchi']","68,424",-
187,Jules and Jim,(1962),Not Rated,105 min,"Drama, Romance",7.7,97        ,Decades of a love triangle concerning two friends and an impulsive woman.,['François Truffaut'],"['Jeanne Moreau', 'Oskar Werner', 'Henri Serre', 'Vanna Urbino']","43,058",-
