,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
201,Blow Out,(1981),R,108 min,"Crime, Drama, Mystery",7.4,86        ,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,['Brian De Palma'],"['John Travolta', 'Nancy Allen', 'John Lithgow', 'Dennis Franz']","57,889",$13.75M
202,K-PAX,(2001),PG-13,120 min,"Drama, Mystery, Sci-Fi",7.4,49        ,"PROT is a patient at a mental hospital who claims to be from a faraway planet named K-PAX. His psychiatrist tries to help him, only to begin to doubt his own explanations.",['Iain Softley'],"['Kevin Spacey', 'Jeff Bridges', 'Mary McCormack', 'Alfre Woodard']","188,350",$50.34M
203,Lone Star,(1996),R,135 min,"Drama, Mystery, Western",7.4,78        ,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",['John Sayles'],"['Chris Cooper', 'Elizabeth Peña', 'Stephen Mendillo', 'Stephen J. Lang']","30,738",$13.27M
204,A Shot in the Dark,(1964),PG,102 min,"Comedy, Mystery",7.4,70        ,"A clumsy, inept detective is hired to investigate the murder of a chauffeur at a country home.",['Blake Edwards'],"['Peter Sellers', 'Elke Sommer', 'George Sanders', 'Herbert Lom']","29,368",$12.37M
205,In the House,(2012),R,105 min,"Drama, Mystery, Thriller",7.4,72        ,A high school French teacher is drawn into a precocious student's increasingly transgressive story about his relationship with a friend's family.,['François Ozon'],"['Fabrice Luchini', 'Vincent Schmitt', 'Ernst Umhauer', 'Kristin Scott Thomas']","33,252",$0.35M
206,Thesis,(1996),R,125 min,"Crime, Horror, Mystery",7.4,-,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty...",['Alejandro Amenábar'],"['Ana Torrent', 'Fele Martínez', 'Eduardo Noriega', 'Xabier Elorriaga']","40,548",-
207,The Postman Always Rings Twice,(1946),Passed,113 min,"Crime, Drama, Film-Noir",7.4,84        ,"A married woman and a drifter fall in love, then plot to murder her husband.",['Tay Garnett'],"['Lana Turner', 'John Garfield', 'Cecil Kellaway', 'Hume Cronyn']","21,924",$8.33M
208,Ghost in the Shell 2: Innocence,(2004),PG-13,100 min,"Animation, Drama, Mystery",7.4,66        ,"In the year 2032, Batô, a cyborg detective for the anti-terrorist unit Public Security Section 9, investigates the case of a female robot--one created solely for sexual pleasure--who slaughtered her owner.",['Mamoru Oshii'],"['Akio Ôtsuka', 'Atsuko Tanaka', 'Tamio Ôki', 'Kôichi Yamadera']","39,373",$1.04M
209,Bhool Bhulaiyaa,(2007),Not Rated,159 min,"Comedy, Horror, Mystery",7.4,-,"An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.",['Priyadarshan'],"['Akshay Kumar', 'Vidya Balan', 'Shiney Ahuja', 'Ameesha Patel']","30,234",$1.07M
210,Hereditary,(2018),R,127 min,"Drama, Horror, Mystery",7.3,87        ,A grieving family is haunted by tragic and disturbing occurrences.,['Ari Aster'],"['Toni Collette', 'Milly Shapiro', 'Gabriel Byrne', 'Alex Wolff']","342,459",$44.07M
211,The Ballad of Buster Scruggs,(2018),R,133 min,"Comedy, Drama, Musical",7.3,79        ,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","['Ethan Coen', 'Joel Coen']","['Tim Blake Nelson', 'Willie Watson', 'Clancy Brown', 'Danny McCarthy']","156,257",-
212,Decision to Leave,(2022),Not Rated,139 min,"Crime, Drama, Mystery",7.3,84        ,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,['Park Chan-wook'],"['Park Hae-il', 'Tang Wei', 'Lee Jung-hyun', 'Go Kyung-Pyo']","42,724",-
