,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
153,Dreamgirls,(2006),PG-13,130 min,"Drama, Music, Musical",6.6,76        ,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.",['Bill Condon'],"['Beyoncé', 'Jamie Foxx', 'Eddie Murphy', 'Danny Glover']","75,455",$103.37M
154,"Juliet, Naked",(2018),R,97 min,"Comedy, Drama, Music",6.6,67        ,"Annie (the long-suffering girlfriend of Duncan) has an unlikely transatlantic romance with once revered, now faded, singer-songwriter, Tucker Crowe, who also happens to be the subject of Duncan's musical obsession.",['Jesse Peretz'],"[""Chris O'Dowd"", 'Rose Byrne', 'Ethan Hawke', ""Kitty O'Beirne""]","23,693",$3.44M
155,"New York, New York",(1977),PG,155 min,"Drama, Music, Musical",6.6,64        ,"An egotistical saxophonist and a young lounge singer meet on VJ Day and embark upon a strained and rocky romance, even as their careers begin a long, uphill climb.",['Martin Scorsese'],"['Liza Minnelli', 'Robert De Niro', 'Lionel Stander', 'Barry Primus']","20,830",$16.40M
156,Nick and Norah's Infinite Playlist,(2008),PG-13,90 min,"Comedy, Drama, Music",6.6,64        ,"High school student Nick O'Leary, member of the Queercore band The Jerk Offs, meets college-bound Norah Silverberg when she asks him to be her boyfriend for five minutes.",['Peter Sollett'],"['Michael Cera', 'Kat Dennings', 'Aaron Yoo', 'Rafi Gavron']","94,033",$31.49M
157,Meet the Feebles,(1989),Not Rated,97 min,"Comedy, Music, Musical",6.6,-,Multiple animals and insects experience the sleazier side of show business while working on a variety show.,['Peter Jackson'],"['Danny Mulheron', 'Donna Akersten', 'Stuart Devenie', 'Mark Hadlow']","21,720",-
158,Take the Lead,(2006),PG-13,118 min,"Drama, Music",6.6,55        ,The real story of a dance teacher who believed in the talent of a group of problem kids.,['Liz Friedlander'],"['Antonio Banderas', 'Rob Brown', 'Yaya DaCosta', 'Alfre Woodard']","26,267",$34.74M
159,Eurovision Song Contest: The Story of Fire Saga,(2020),PG-13,123 min,"Comedy, Music",6.5,50        ,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",['David Dobkin'],"['Will Ferrell', 'Rachel McAdams', 'Dan Stevens', 'Mikael Persbrandt']","98,255",-
160,Sister Act,(1992),PG,100 min,"Comedy, Family, Music",6.5,51        ,"When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity.",['Emile Ardolino'],"['Whoopi Goldberg', 'Maggie Smith', 'Harvey Keitel', 'Bill Nunn']","103,499",$139.61M
161,Step Up,(2006),PG-13,104 min,"Crime, Drama, Music",6.5,48        ,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",['Anne Fletcher'],"['Channing Tatum', 'Jenna Dewan', 'Damaine Radcliff', ""De'Shawn Washington""]","122,461",$65.33M
162,Ocean's Eleven,(1960),Approved,127 min,"Comedy, Crime, Music",6.5,57        ,Danny Ocean gathers a group of his World War II compatriots to pull off the ultimate Las Vegas heist. Together the eleven friends plan to rob five Las Vegas casinos in one night.,['Lewis Milestone'],"['Frank Sinatra', 'Dean Martin', 'Sammy Davis Jr.', 'Peter Lawford']","24,148",$12.32M
163,The Runaways,(2010),R,106 min,"Biography, Drama, Music",6.5,65        ,A coming-of-age biographical film about the 1970s teenage all-girl rock band The Runaways. The relationship between band members Cherie Currie and Joan Jett is also explored.,['Floria Sigismondi'],"['Kristen Stewart', 'Dakota Fanning', 'Michael Shannon', 'Stella Maeve']","50,096",$3.57M
164,Purple Rain,(1984),R,111 min,"Drama, Music, Romance",6.5,55        ,"A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise.",['Albert Magnoli'],"['Prince', 'Apollonia Kotero', 'Morris Day', 'Olga Karlatos']","22,800",$68.39M
165,Music and Lyrics,(2007),PG-13,104 min,"Comedy, Music, Romance",6.5,59        ,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",['Marc Lawrence'],"['Hugh Grant', 'Drew Barrymore', 'Scott Porter', 'Nick Bacon']","105,194",$50.57M
166,Pitch Perfect 2,(2015),PG-13,115 min,"Comedy, Music",6.4,63        ,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",['Elizabeth Banks'],"['Anna Kendrick', 'Rebel Wilson', 'Hailee Steinfeld', 'Brittany Snow']","163,512",$184.30M
167,Trolls,(2016),PG,92 min,"Animation, Adventure, Comedy",6.4,55        ,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","['Mike Mitchell', 'Walt Dohrn']","['Anna Kendrick', 'Justin Timberlake', 'Zooey Deschanel', 'Christopher Mintz-Plasse']","86,081",$153.71M
168,Burlesque,(I) (2010),PG-13,119 min,"Drama, Music, Musical",6.4,47        ,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,['Steve Antin'],"['Cher', 'Christina Aguilera', 'Alan Cumming', 'Eric Dane']","89,552",$39.44M
169,Happy Feet,(2006),PG,108 min,"Animation, Adventure, Comedy",6.4,77        ,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!","['George Miller', 'Warren Coleman', 'Judy Morris']","['Elijah Wood', 'Brittany Murphy', 'Hugh Jackman', 'Robin Williams']","192,806",$198.00M
