,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
97,Bacurau,(2019),Not Rated,131 min,"Action, Adventure, Drama",7.3,82        ,"After the death of her grandmother, Teresa comes home to her matriarchal village in a near-future Brazil to find a succession of sinister events that mobilizes all of its residents.","['Juliano Dornelles', 'Kleber Mendonça Filho']","['Bárbara Colen', 'Thomas Aquino', 'Silvero Pereira', 'Thardelly Lima']","29,028",-
98,The Day of the Beast,(1995),R,99 min,"Action, Comedy, Crime",7.3,-,"Bent on committing as many sins as possible to avert the birth of the beast, a Catholic priest teams up with a Black Metal aficionado and an Italian connoisseur of the occult. Now, he must become an unrelenting sinner. Is there still hope?",['Álex de la Iglesia'],"['Álex Angulo', 'Armando De Razza', 'Santiago Segura', 'Terele Pávez']","22,693",$0.02M
99,The Menu,(2022),R,107 min,"Comedy, Horror, Thriller",7.2,71        ,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",['Mark Mylod'],"['Ralph Fiennes', 'Anya Taylor-Joy', 'Nicholas Hoult', 'Hong Chau']","320,333",-
100,From Dusk Till Dawn,(1996),R,108 min,"Action, Crime, Horror",7.2,48        ,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",['Robert Rodriguez'],"['Harvey Keitel', 'George Clooney', 'Juliette Lewis', 'Quentin Tarantino']","325,689",$25.75M
101,The Lost Boys,(1987),R,97 min,"Comedy, Horror",7.2,63        ,"After moving to a new town, two brothers discover that the area is a haven for vampires.",['Joel Schumacher'],"['Jason Patric', 'Corey Haim', 'Dianne Wiest', 'Barnard Hughes']","150,270",$32.22M
102,A Quiet Place Part II,(2020),PG-13,97 min,"Drama, Horror, Sci-Fi",7.2,71        ,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",['John Krasinski'],"['Emily Blunt', 'Millicent Simmonds', 'Cillian Murphy', 'John Krasinski']","248,388",$160.07M
103,The Descent,(2005),R,99 min,"Adventure, Horror, Thriller",7.2,71        ,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",['Neil Marshall'],"['Shauna Macdonald', 'Natalie Mendoza', 'Alex Reid', 'Saskia Mulder']","233,447",$26.02M
104,They Live,(1988),R,94 min,"Action, Horror, Sci-Fi",7.2,55        ,They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,['John Carpenter'],"['Roddy Piper', 'Keith David', 'Meg Foster', ""George 'Buck' Flower""]","136,271",$13.01M
105,I Am Legend,(2007),PG-13,101 min,"Action, Drama, Horror",7.2,65        ,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",['Francis Lawrence'],"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Salli Richardson-Whitfield']","780,611",$256.39M
106,10 Cloverfield Lane,(2016),PG-13,103 min,"Drama, Horror, Mystery",7.2,76        ,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,['Dan Trachtenberg'],"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.', 'Douglas M. Griffin']","340,178",$72.08M
107,Dead Ringers,(1988),R,116 min,"Drama, Horror, Thriller",7.2,86        ,"Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman.",['David Cronenberg'],"['Jeremy Irons', 'Geneviève Bujold', 'Heidi von Palleske', 'Barbara Gordon']","50,927",$9.13M
108,Angel Heart,(1987),X,113 min,"Horror, Mystery, Thriller",7.2,61        ,A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.,['Alan Parker'],"['Mickey Rourke', 'Robert De Niro', 'Lisa Bonet', 'Charlotte Rampling']","91,694",$17.19M
109,Twin Peaks: Fire Walk with Me,(1992),R,134 min,"Drama, Horror, Mystery",7.2,45        ,"Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town.",['David Lynch'],"['Sheryl Lee', 'Ray Wise', 'Mädchen Amick', 'Dana Ashbrook']","100,554",$4.16M
110,Only Lovers Left Alive,(2013),R,123 min,"Comedy, Drama, Fantasy",7.2,79        ,"A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister.",['Jim Jarmusch'],"['Tilda Swinton', 'Tom Hiddleston', 'Mia Wasikowska', 'John Hurt']","104,091",$1.88M
111,Videodrome,(1983),R,87 min,"Horror, Sci-Fi, Thriller",7.2,60        ,A programmer at a TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.,['David Cronenberg'],"['James Woods', 'Debbie Harry', 'Sonja Smits', 'Peter Dvorsky']","97,578",$2.12M
112,Re-Animator,(1985),Unrated,84 min,"Comedy, Horror, Sci-Fi",7.2,73        ,"After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue.",['Stuart Gordon'],"['Jeffrey Combs', 'Bruce Abbott', 'Barbara Crampton', 'David Gale']","67,947",$2.02M
113,An American Crime,(2007),R,98 min,"Biography, Crime, Drama",7.2,-,"The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.","[""Tommy O'Haver""]","['Elliot Page', 'Hayley McFarland', 'Nick Searcy', 'Romy Rosemont']","35,796",-
114,The Dead Zone,(1983),R,103 min,"Drama, Horror, Sci-Fi",7.2,69        ,A man awakens from a coma to discover he has a psychic ability.,['David Cronenberg'],"['Christopher Walken', 'Brooke Adams', 'Tom Skerritt', 'Herbert Lom']","73,640",$20.77M
115,Ringu,(1998),Not Rated,96 min,"Horror, Mystery",7.2,-,A reporter and her ex-husband investigate a cursed video tape that is rumored to kill the viewer seven days after watching it.,['Hideo Nakata'],"['Nanako Matsushima', 'Miki Nakatani', 'Yûko Takeuchi', 'Hitomi Satô']","73,419",-
116,The Changeling,(1980),R,107 min,"Horror, Mystery",7.2,70        ,"After the death of his wife and daughter in a car crash, a music professor staying at a long-vacant Seattle mansion is dragged into a decades-old mystery by an inexplicable presence in the mansion's attic.",['Peter Medak'],"['George C. Scott', 'Trish Van Devere', 'Melvyn Douglas', 'Jean Marsh']","37,109",-
117,Sleep Tight,(2011),Not Rated,102 min,"Crime, Drama, Horror",7.2,70        ,You wake day after day to the comfort and security of your home. But how safe is it really?,['Jaume Balagueró'],"['Luis Tosar', 'Marta Etura', 'Alberto San Juan', 'Petra Martínez']","44,669",-
118,Them!,(1954),Not Rated,94 min,"Horror, Sci-Fi",7.2,74        ,The earliest atomic tests in New Mexico cause common ants to mutate into giant man-eating monsters that threaten civilization.,['Gordon Douglas'],"['James Whitmore', 'Edmund Gwenn', 'Joan Weldon', 'James Arness']","23,070",-
119,Horror of Dracula,(1958),Not Rated,82 min,"Drama, Horror",7.2,67        ,"Jonathan Harker rouses the ire of Count Dracula after he accepts a job at the vampire's castle under false pretenses. Harker's friend, Dr. Van Helsing, then embarks on a hunt for the predatory villain when he targets Harker's loved ones.",['Terence Fisher'],"['Peter Cushing', 'Christopher Lee', 'Michael Gough', 'Melissa Stribling']","26,439",-
120,Cat People,(1942),Not Rated,73 min,"Fantasy, Horror, Thriller",7.2,85        ,An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,['Jacques Tourneur'],"['Simone Simon', 'Tom Conway', 'Kent Smith', 'Jane Randolph']","24,366",$4.00M
121,The Wolf Man,(1941),Passed,70 min,"Horror, Mystery, Romance",7.2,72        ,"Larry Talbot returns to his father's castle in Wales and meets a beautiful woman. One fateful night, Talbot escorts her to a local carnival where they meet a mysterious gypsy fortune teller.",['George Waggner'],"['Claude Rains', 'Warren William', 'Lon Chaney Jr.', 'Ralph Bellamy']","28,699",-
122,Midsommar,(2019),R,148 min,"Drama, Horror, Mystery",7.1,72        ,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,['Ari Aster'],"['Florence Pugh', 'Jack Reynor', 'Vilhelm Blomgren', 'William Jackson Harper']","352,980",$27.33M
